INFORME DE VENTAS TOTALES;Período: 1/1/2024 - 31/12/2024;;;;;
Mes;Fecha;Producto;Unidad;Cantidad c/Cargo;Cantidad Bonificada;Importe
Diciembre '24;24/12/2024;Te Green Hills;Sobres;2;0;6000.00
Diciembre '24;24/12/2024;Portasobres;Unidades;3;0;8475.00
Diciembre '24;24/12/2024;Cafe Santos;Kilo;0;2;0.00
Noviembre '24;26/11/2024;Cafe Santos;Kilo;0;2;0.00
Noviembre '24;26/11/2024;Te Green Hills;Sobres;5;0;15000.00
Noviembre '24;26/11/2024;Portasobres;Unidades;5;0;14125.00
Octubre '24;2/10/2024;Cafe Santos;Kilo;0;2;0.00
Octubre '24;2/10/2024;Portasobres;Unidades;2;0;5650.00
Octubre '24;2/10/2024;Te Green Hills;Sobres;5;0;15000.00
Octubre '24;3/10/2024;Cafe Santos;Kilo;0;3;0.00
Octubre '24;3/10/2024;Portasobres;Unidades;5;0;14125.00
Octubre '24;3/10/2024;Te Green Hills;Sobres;1;0;3000.00
Noviembre '24;3/11/2024;Cafe Santos;Kilo;0;1;0.00
Noviembre '24;3/11/2024;Portasobres;Unidades;2;0;5650.00
Noviembre '24;3/11/2024;Te Green Hills;Sobres;4;0;12000.00
Noviembre '24;11/11/2024;Cafe Santos;Kilo;0;4;0.00
Noviembre '24;11/11/2024;Portasobres;Unidades;4;0;11300.00
Noviembre '24;11/11/2024;Te Green Hills;Sobres;1;0;3000.00
Octubre '24;21/10/2024;Te Green Hills;Sobres;3;0;9000.00
Octubre '24;21/10/2024;Portasobres;Unidades;4;0;11300.00
Octubre '24;21/10/2024;Cafe Santos;Kilo;0;4;0.00
Octubre '24;20/10/2024;Te Green Hills;Sobres;1;0;3000.00
Octubre '24;20/10/2024;Cafe Santos;Kilo;0;3;0.00
Octubre '24;20/10/2024;Portasobres;Unidades;3;0;8475.00
Octubre '24;16/10/2024;Cafe Santos;Kilo;0;3;0.00
Octubre '24;16/10/2024;Te Green Hills;Sobres;4;0;12000.00
Octubre '24;16/10/2024;Portasobres;Unidades;3;0;8475.00
Septiembre '24;28/9/2024;Portasobres;Unidades;2;0;5650.00
Septiembre '24;28/9/2024;Te Green Hills;Sobres;3;0;9000.00
Septiembre '24;28/9/2024;Cafe Santos;Kilo;0;1;0.00
Septiembre '24;15/9/2024;Portasobres;Unidades;3;0;8475.00
Septiembre '24;15/9/2024;Cafe Santos;Kilo;0;5;0.00
Septiembre '24;15/9/2024;Te Green Hills;Sobres;5;0;15000.00
Septiembre '24;15/9/2024;Te Green Hills;Sobres;4;0;12000.00
Septiembre '24;15/9/2024;Portasobres;Unidades;5;0;14125.00
Septiembre '24;15/9/2024;Cafe Santos;Kilo;0;4;0.00
Septiembre '24;13/9/2024;Portasobres;Unidades;1;0;2825.00
Septiembre '24;13/9/2024;Cafe Santos;Kilo;0;1;0.00
Septiembre '24;13/9/2024;Te Green Hills;Sobres;5;0;15000.00
Septiembre '24;3/9/2024;Cafe Santos;Kilo;0;4;0.00
Septiembre '24;3/9/2024;Portasobres;Unidades;3;0;8475.00
Septiembre '24;3/9/2024;Te Green Hills;Sobres;1;0;3000.00
Septiembre '24;4/9/2024;Cafe Santos;Kilo;0;1;0.00
Septiembre '24;4/9/2024;Portasobres;Unidades;4;0;11300.00
Septiembre '24;4/9/2024;Te Green Hills;Sobres;2;0;6000.00
Septiembre '24;5/9/2024;Cafe Santos;Kilo;0;5;0.00
Septiembre '24;5/9/2024;Portasobres;Unidades;3;0;8475.00
Septiembre '24;5/9/2024;Te Green Hills;Sobres;5;0;15000.00
Septiembre '24;6/9/2024;Cafe Santos;Kilo;0;1;0.00
Septiembre '24;6/9/2024;Portasobres;Unidades;4;0;11300.00
Septiembre '24;6/9/2024;Te Green Hills;Sobres;1;0;3000.00
Septiembre '24;7/9/2024;Cafe Santos;Kilo;0;3;0.00
Septiembre '24;7/9/2024;Portasobres;Unidades;5;0;14125.00
Septiembre '24;7/9/2024;Te Green Hills;Sobres;3;0;9000.00
Septiembre '24;27/9/2024;Portasobres;Unidades;1;0;2825.00
Septiembre '24;27/9/2024;Cafe Santos;Kilo;0;3;0.00
Septiembre '24;27/9/2024;Te Green Hills;Sobres;3;0;9000.00
Septiembre '24;26/9/2024;Cafe Santos;Kilo;0;4;0.00
Septiembre '24;26/9/2024;Te Green Hills;Sobres;2;0;6000.00
Septiembre '24;26/9/2024;Portasobres;Unidades;5;0;14125.00
Septiembre '24;21/9/2024;Portasobres;Unidades;4;0;11300.00
Septiembre '24;21/9/2024;Te Green Hills;Sobres;3;0;9000.00
Septiembre '24;21/9/2024;Cafe Santos;Kilo;0;3;0.00
Septiembre '24;15/9/2024;Cafe Santos;Kilo;0;4;0.00
Septiembre '24;15/9/2024;Portasobres;Unidades;4;0;11300.00
Septiembre '24;15/9/2024;Te Green Hills;Sobres;3;0;9000.00
Septiembre '24;22/9/2024;Portasobres;Unidades;4;0;11300.00
Septiembre '24;22/9/2024;Te Green Hills;Sobres;4;0;12000.00
Septiembre '24;22/9/2024;Cafe Santos;Kilo;0;1;0.00
Septiembre '24;22/9/2024;Te Green Hills;Sobres;1;0;3000.00
Septiembre '24;22/9/2024;Cafe Santos;Kilo;0;1;0.00
Septiembre '24;22/9/2024;Portasobres;Unidades;1;0;2825.00
Septiembre '24;18/9/2024;Portasobres;Unidades;3;0;8475.00
Septiembre '24;18/9/2024;Te Green Hills;Sobres;3;0;9000.00
Septiembre '24;18/9/2024;Cafe Santos;Kilo;0;2;0.00
Septiembre '24;18/9/2024;Te Green Hills;Sobres;2;0;6000.00
Septiembre '24;18/9/2024;Portasobres;Unidades;5;0;14125.00
Septiembre '24;18/9/2024;Cafe Santos;Kilo;0;1;0.00
Septiembre '24;1/9/2024;Cafe Santos;Kilo;0;3;0.00
Septiembre '24;1/9/2024;Portasobres;Unidades;2;0;5650.00
Septiembre '24;1/9/2024;Te Green Hills;Sobres;4;0;12000.00
Septiembre '24;3/9/2024;Cafe Santos;Kilo;0;5;0.00
Septiembre '24;3/9/2024;Portasobres;Unidades;2;0;5650.00
Septiembre '24;3/9/2024;Te Green Hills;Sobres;5;0;15000.00
Septiembre '24;5/9/2024;Cafe Santos;Kilo;0;5;0.00
Septiembre '24;5/9/2024;Portasobres;Unidades;4;0;11300.00
Septiembre '24;5/9/2024;Te Green Hills;Sobres;3;0;9000.00
Septiembre '24;6/9/2024;Cafe Santos;Kilo;0;5;0.00
Septiembre '24;6/9/2024;Portasobres;Unidades;4;0;11300.00
Septiembre '24;6/9/2024;Te Green Hills;Sobres;4;0;12000.00
Septiembre '24;9/9/2024;Cafe Santos;Kilo;0;5;0.00
Septiembre '24;9/9/2024;Cafe Santos;Kilo;0;2;0.00
Septiembre '24;9/9/2024;Portasobres;Unidades;2;0;5650.00
Septiembre '24;9/9/2024;Portasobres;Unidades;2;0;5650.00
Septiembre '24;9/9/2024;Te Green Hills;Sobres;2;0;6000.00
Septiembre '24;9/9/2024;Te Green Hills;Sobres;3;0;9000.00
Septiembre '24;11/9/2024;Cafe Santos;Kilo;0;1;0.00
Septiembre '24;11/9/2024;Portasobres;Unidades;2;0;5650.00
Septiembre '24;11/9/2024;Te Green Hills;Sobres;4;0;12000.00
Septiembre '24;21/9/2024;Portasobres;Unidades;2;0;5650.00
Septiembre '24;21/9/2024;Te Green Hills;Sobres;1;0;3000.00
Septiembre '24;21/9/2024;Cafe Santos;Kilo;0;4;0.00
Agosto '24;28/8/2024;Te Green Hills;Sobres;2;0;6000.00
Agosto '24;28/8/2024;Portasobres;Unidades;4;0;11300.00
Agosto '24;28/8/2024;Cafe Santos;Kilo;0;1;0.00
Agosto '24;28/8/2024;Te Green Hills;Sobres;3;0;9000.00
Agosto '24;28/8/2024;Portasobres;Unidades;2;0;5650.00
Agosto '24;28/8/2024;Cafe Santos;Kilo;0;3;0.00
Agosto '24;26/8/2024;Cafe Santos;Kilo;0;1;0.00
Agosto '24;26/8/2024;Te Green Hills;Sobres;2;0;6000.00
Agosto '24;26/8/2024;Portasobres;Unidades;3;0;8475.00
Agosto '24;19/8/2024;Portasobres;Unidades;1;0;2825.00
Agosto '24;19/8/2024;Cafe Santos;Kilo;0;1;0.00
Agosto '24;19/8/2024;Te Green Hills;Sobres;1;0;3000.00
Agosto '24;28/8/2024;Te Green Hills;Sobres;5;0;15000.00
Agosto '24;28/8/2024;Portasobres;Unidades;3;0;8475.00
Agosto '24;28/8/2024;Cafe Santos;Kilo;0;5;0.00
Agosto '24;23/8/2024;Te Green Hills;Sobres;2;0;6000.00
Agosto '24;23/8/2024;Cafe Santos;Kilo;0;2;0.00
Agosto '24;23/8/2024;Portasobres;Unidades;3;0;8475.00
Agosto '24;21/8/2024;Te Green Hills;Sobres;5;0;15000.00
Agosto '24;21/8/2024;Cafe Santos;Kilo;0;3;0.00
Agosto '24;21/8/2024;Portasobres;Unidades;5;0;14125.00
Agosto '24;21/8/2024;Te Green Hills;Sobres;3;0;9000.00
Agosto '24;21/8/2024;Cafe Santos;Kilo;0;4;0.00
Agosto '24;21/8/2024;Portasobres;Unidades;1;0;2825.00
Agosto '24;26/8/2024;Te Green Hills;Sobres;4;0;12000.00
Agosto '24;26/8/2024;Portasobres;Unidades;4;0;11300.00
Agosto '24;26/8/2024;Cafe Santos;Kilo;0;1;0.00
Agosto '24;24/8/2024;Te Green Hills;Sobres;3;0;9000.00
Agosto '24;24/8/2024;Portasobres;Unidades;5;0;14125.00
Agosto '24;24/8/2024;Cafe Santos;Kilo;0;4;0.00
Agosto '24;21/8/2024;Te Green Hills;Sobres;3;0;9000.00
Agosto '24;21/8/2024;Portasobres;Unidades;5;0;14125.00
Agosto '24;21/8/2024;Cafe Santos;Kilo;0;3;0.00
Agosto '24;18/8/2024;Portasobres;Unidades;3;0;8475.00
Agosto '24;24/8/2024;Cafe Santos;Kilo;0;2;0.00
Agosto '24;24/8/2024;Te Green Hills;Sobres;5;0;15000.00
Agosto '24;24/8/2024;Portasobres;Unidades;5;0;14125.00